CoilID,Y,selected_ensemble_oof_score,selected_ensemble_oof_pred
487,0,0.08698669539878724,0
44,0,0.22489763530496154,1
192,0,0.37787367390937115,1
1552,0,0.09827426063658741,1
1190,0,0.3674252902020054,1
102,0,0.05188094650512987,0
900,0,0.17724502737541903,1
674,0,0.07135930951874432,0
572,0,0.589623294126159,1
1205,0,0.07576183084619133,0
1081,0,0.1549091274487212,1
314,0,0.06125315081901581,0
1228,0,0.053611143049221315,0
944,0,0.29416604695455756,1
516,0,0.05316976934318346,0
912,0,0.09835472025274312,1
189,0,0.5620368327067513,1
1016,0,0.4336403967944173,1
1529,0,0.17066753248288488,1
1619,0,0.07480066499841964,0
1254,0,0.2299395678796876,1
367,0,0.17039234329984942,1
114,0,0.1113035795577606,1
1654,0,0.05568393946144732,0
1551,0,0.1290966468903942,1
1563,0,0.055919857632886816,0
125,0,0.6429077426843056,1
824,0,0.2278179115828521,1
1391,0,0.05525601008635106,0
369,0,0.1684001353042229,1
1268,0,0.13540847148065732,1
927,0,0.22032179580792519,1
1439,0,0.13776138673395835,1
1587,0,0.06196288513084322,0
375,0,0.5549452631228569,1
624,1,0.10116287960442853,1
76,0,0.07060385552786327,0
1342,0,0.06939729832522491,0
478,0,0.12307377862399477,1
387,0,0.061303314485616135,0
283,0,0.38051544032493684,1
504,0,0.07946265685472849,0
1248,0,0.06779810034765672,0
1555,0,0.05587939437219535,0
301,0,0.4521115234214126,1
552,0,0.05358082613098244,0
119,0,0.10440922762728015,1
469,0,0.08290570789234349,0
1672,0,0.0668582810118607,0
85,0,0.6592136758968462,1
393,0,0.28368578055155735,1
441,0,0.08781578515357692,0
1235,0,0.050235358763091875,0
1462,0,0.06294053499874315,0
1169,0,0.2391504486783739,1
790,0,0.326951897668545,1
1572,0,0.05714661958956286,0
1089,0,0.07446321601478438,0
1451,0,0.06438207341030687,0
466,0,0.2624633554735089,1
402,0,0.05612735262919224,0
947,0,0.4925898216374541,1
30,0,0.2527474338449018,1
6,0,0.13693838141328468,1
1475,0,0.07005887986731053,0
673,0,0.08344443984556775,0
1402,0,0.061763507330320905,0
788,0,0.2886815788298848,1
677,0,0.09441587730080502,0
12,0,0.17177429622276483,1
45,0,0.04688361612885685,0
1163,0,0.13912553912591227,1
198,0,0.07364790772662376,0
973,0,0.202422766803785,1
1581,0,0.05681970937635316,0
587,0,0.4061868936719746,1
1144,0,0.11851490216428821,1
791,0,0.563855521879161,1
779,0,0.5303116861030284,1
33,0,0.4258592227537055,1
1198,0,0.05649598021840551,0
57,0,0.07288797504937146,0
306,0,0.0679348921901304,0
75,1,0.655132012394572,1
847,0,0.45061734035249296,1
360,1,0.30226300563319636,1
205,0,0.32280050464898735,1
120,0,0.08854303518692451,0
19,0,0.2126502658461414,1
669,0,0.09722239607663437,1
432,0,0.18747992052556398,1
414,0,0.1989656376783011,1
991,0,0.34090715855785714,1
1368,0,0.08691896885917788,0
1652,0,0.08744250952368425,0
185,0,0.07961232459975481,0
553,0,0.27170464833514063,1
1369,0,0.06313704802626567,0
1385,0,0.06083642115040618,0
595,0,0.1233954003808796,1
1325,0,0.0652396823559674,0
1015,1,0.23770101747400865,1
1479,0,0.10243691924257337,1
1521,0,0.12031287342256607,1
703,0,0.06634716901348196,0
850,0,0.18911413790932116,1
48,0,0.4960206166357733,1
1055,0,0.08084363007461247,0
1546,0,0.08342105732269932,0
1262,0,0.12804006713069213,1
1017,0,0.1716486399165019,1
869,0,0.2399411554172494,1
253,0,0.3232232285409831,1
1505,0,0.0675033321085965,0
761,0,0.11630204492971274,1
20,0,0.4355472907207066,1
1354,0,0.1300630254487576,1
194,0,0.5030859885150397,1
426,0,0.04739097054589709,0
1424,0,0.08240215166128267,0
1195,0,0.09590638046780507,1
322,0,0.05323071172914858,0
875,0,0.47469885646710175,1
888,0,0.22318189262955102,1
891,0,0.24694656407343238,1
789,0,0.24078760927509282,1
31,0,0.051420313891722934,0
49,0,0.33568152430351944,1
1628,0,0.07997891537634831,0
825,0,0.07378656603683452,0
1604,0,0.09728795560868407,1
383,0,0.11165393600961886,1
977,0,0.16232883808087087,1
353,0,0.05131312274851066,0
812,0,0.28367880553631797,1
768,0,0.39341394816237996,1
1011,0,0.29486455736940426,1
514,0,0.5086228244932302,1
1530,0,0.061247667879743166,0
731,0,0.1424897643255424,1
1182,1,0.4033375286151541,1
1208,0,0.05702366196857402,0
1278,0,0.09553360975875737,0
233,0,0.08312896443261054,0
949,0,0.28293213403735124,1
1655,0,0.06533520466493267,0
24,0,0.3242491310396442,1
652,0,0.10034955822625154,1
