,Y
X35,-0.26382327098974345
X13,0.2529313120054595
X36,-0.24368411749786387
X34,-0.23979876562069335
X10,0.2377379576735621
X30,0.21850836257959236
X31,0.21222000418355277
X32,0.21074647188557194
X29,0.19096780538610436
X37,-0.17162888870900805
X33,0.16274523620831124
X41,-0.158661973578998
X15,-0.1493032714327915
X7,0.14272547998311746
X4,0.1403555727645974
X49,-0.13684328340215623
X22,-0.12474937555116143
X8,0.12287500346250664
X42,-0.1219877293373809
X9,0.11588632420470221
X6,0.11275919744979028
X5,0.1065771550366403
X24,0.10475006186775458
X38,-0.10247006651582506
X43,0.09468687812522117
X16,0.0909635418652331
X39,-0.08866197457931578
X18,-0.08766451489098265
X23,-0.08638905958753576
X45,0.08420932034114044
X25,0.0836625439916032
X19,-0.07408707912697413
X11,0.06447744700652511
X40,-0.06436360181447129
X17,-0.06368474052597024
X44,0.06354889995228276
X2,-0.056798211319274254
X48,-0.05569544875010265
X1,0.05485642671117866
X46,-0.050148610639795504
X28,-0.05011315303621944
X26,0.03959460732479752
X12,-0.037821273588021315
X27,0.03667842959019243
X14,0.029193935362042355
X21,-0.027874821314104247
X47,-0.012234905254324602
X20,-0.011369396879134928
X3,0.0013034037628629506
